Paper,Experiment,Task,Mean d',SD,SD obtained from:,# of observations to calculate d',TotalTrials,# of subs tested,Base d',Ref  d',Comp d',any >1.86,both d' >1.86,Increase in d',Inferential test used,Reported correction factor?,Journal,Notes
,,"Visual old/new (exemplar, day 8)",0.5,0.17,Figure 3,unclear,.,16,1,0.39,0.5,0,0,0.11,,,,
,,"Visual old/new (state, day 1)",1.26,0.44,Figure 3,unclear,.,16,1,0.39,1.26,0,0,0.87,,,,
,,"Visual old/new (state, day 8)",0.39,0.24,Figure 3,unclear,.,16,,,,,,,,,,
Bocanegra & Zeelenberg (2011),1,"Visual gap present/absent (fearful, distributed)",1.36,0.47,Figure 2,220,220,22,,,,,,,ANOVA,none reported,Psychonomic Bulletin & Review,
,,"Visual gap present/absent (fearful, valid)",2.04,0.47,Figure 2,220,220,22,2,1.36,2.04,1,0,0.68,,,,
,,"Visual gap present/absent (neutral, distributed)",1.47,0.47,Figure 2,220,220,22,2,1.36,1.47,0,0,0.11,,,,
,,"Visual gap present/absent (neutral, valid)",1.76,0.47,Figure 2,220,220,22,2,1.36,1.76,0,0,0.4,,,,
,2,"Visual gap present/absent (fearful, distributed)",1.83,0.36,Figure 2,220,220,20,2,1.08,1.83,0,0,0.75,ANOVA,,,
,,"Visual gap present/absent (fearful, valid)",1.08,0.27,Figure 2,220,220,20,,,,,,,,,,
,,"Visual gap present/absent (neutral, distributed)",1.51,0.36,Figure 2,220,220,20,2,1.08,1.51,0,0,0.43,,,,
,,"Visual gap present/absent (neutral, valid)",1.25,0.36,Figure 2,220,220,20,2,1.08,1.25,0,0,0.17,,,,
Fu et al. (2017),1,"Visual old/new (OA, 1)",0.31,0.83,Figure 2 (a),135 (90 old),135,23,,,,,,,GLM,none reported,Memory,
,,"Visual old/new (OA, 2)",0.45,.,Figure 2 (a),135 (90 old),135,23,1,0.31,0.45,0,0,0.14,,,,
,,"Visual old/new (OA, 3)",0.51,.,Figure 2 (a),135 (90 old),135,23,1,0.31,0.51,0,0,0.2,,,,
,,"Visual old/new (OA, 4)",0.58,.,Figure 2 (a),135 (90 old),135,23,1,0.31,0.58,0,0,0.27,,,,
,,"Visual old/new (YA, 1)",0.57,.,Figure 2 (a),135 (90 old),135,23,1,0.31,0.57,0,0,0.26,,,,
,,"Visual old/new (YA, 2)",0.64,.,Figure 2 (a),135 (90 old),135,23,1,0.31,0.64,0,0,0.33,,,,
,,"Visual old/new (YA, 3)",0.68,.,Figure 2 (a),135 (90 old),135,23,1,0.31,0.68,0,0,0.37,,,,
,,"Visual old/new (YA, 4)",0.78,.,Figure 2 (a),135 (90 old),135,23,1,0.31,0.78,0,0,0.47,,,,
Gloede et al. (2017),1,Visual old/new,3.86,0.87,Figure 2,64 (32 old),64,12,3,1.86,3.86,0,1,2,ANOVA,none reported,Quarterly Journal of Experimental Psychology,
,,Auditory old/new (pre),1.86,0.35,Figure 2,64 (32 old),64,12,,,,,,,,,,
,,Auditory old/new (post),2.08,0.42,Figure 2,64 (32 old),64,12,3,1.86,2.08,0,1,0.22,,,,
,2,Visual old/new,3.11,0.92,Figure 3,64 (32 old),64,17,3,1.96,3.21,0,1,1.25,ANOVA,,,
,,Auditory old/new (pre),1.96,0.51,Figure 3,64 (32 old),64,17,,,,,,,,,,
,,Auditory old/new (post),2.14,0.62,Figure 3,64 (32 old),64,17,3,1.96,2.14,0,1,0.18,,,,
,3,Visual old/new (pre),3.55,0.79,Figure 4,64 (32 old),64,14,3,1.74,3.55,1,0,1.81,ANOVA,,,
,,Visual old/new (post),2.32,1.18,Figure 4,64 (32 old),64,14,3,1.74,2.32,1,0,0.58,,,,
,,Auditory old/new (pre),1.74,0.54,Figure 4,64 (32 old),64,14,,,,,,,,,,
,,Auditory old/new (post),2.67,0.71,Figure 4,64 (32 old),64,14,3,1.74,2.67,0,1,0.93,,,,
,4,Visual old/new (pre),3.75,0.74,Figure 5,64 (32 old),64,19,2,1.19,3.75,0,1,2.56,ANOVA,,,
,,Visual old/new (post),2.17,0.69,Figure 5,64 (32 old),64,19,2,1.19,2.17,0,1,0.98,,,,
,,Auditory old/new (pre),1.84,0.5,Figure 5,64 (32 old),64,19,2,1.19,1.84,0,0,0.65,,,,
,,Auditory old/new (post),1.19,0.64,Figure 5,64 (32 old),64,19,,,,,,,,,,
Gozli et al. (2012),1,"Visual gap present/absent (temporal, hands far)",2.66,0.35,Figure 3,420 (210 present),420,27,3,2.04,2.66,0,1,0.62,ANOVA,none reported,Cognition,
,,"Visual gap present/absent (temporal, hands near)",2.81,0.3,Figure 3,420 (210 present),420,27,3,2.04,2.81,0,1,0.77,,,,
,,"Visual gap present/absent (spatial, hands far)",2.25,0.38,Figure 3,420 (210 present),420,27,3,2.04,2.25,0,1,0.21,,,,
,,"Visual gap present/absent (spatial, hands near)",2.04,0.4,Figure 3,420 (210 present),420,27,,,,,,,,,,
Horvath & Bendixen (2012),1,"Auditory go/no-go (valid, deviant)",2.74,0.8,Figure 1,320,320,12,4,2.51,2.74,0,1,0.23,ANOVA,HR of 1: adjusted to 1-(1/2N),International Journal of Psychophysiology,Unclear about number of trials
,,"Auditory go/no-go (valid, standard)",3.36,0.62,Figure 1,2080,2080,12,4,2.51,3.36,0,1,0.85,,FA of 0: adjusted to 1/2N,,
,,"Auditory go/no-go (invalid, deviant)",2.51,1.04,Figure 1,80,80,12,,,,,,,,,,
,,"Auditory go/no-go (invalid, standard)",3.23,0.66,Figure 1,520,520,12,4,2.51,3.23,0,1,0.72,,,,
Varghese et al. (2015),1,Auditory go/no-go (dichotic),3.18,0.44,Results (p.150),32,32,9,,3.16,3.18,0,1,,t-test,Proportions of 0: adjusted to 0.5/N,Brain Research,
,,Auditory go/no-go (monaural),3.16,0.69,Results (p.150),32,32,9,5,,,,,0.02,,Proportions of 1: adjusted to 1-0.5/N,,
,2,Auditory go/no-go (dichotic),3.1,0.31,Results (p.151),unclear,.,12,,,,,,,ANOVA,,,
,,Auditory go/no-go (monaural),3.12,0.65,Results (p.151),unclear,.,12,5,3.1,3.12,0,1,0.02,,,,
,,Auditory go/no-go (attend-visual),3.27,0.47,Results (p.151),unclear,.,12,5,3.1,3.27,0,1,0.17,,,,
Timney et al. (2016),2,"Visual present/absent (no alcohol, 0.25)",1.28,0.54,Figure 2,200 (50 present),200,17,2,1.23,1.28,0,0,0.05,ANOVA,none reported,Perception,
,,"Visual present/absent (alcohol, 0.25)",1.35,1.36,Figure 2,200 (50 present),200,17,2,1.23,1.35,0,0,0.12,,,,
,,"Visual present/absent (no alcohol, 0.50)",1.23,0.74,Figure 2,200 (100 present),200,17,,,,,,,,,,
,,"Visual present/absent (alcohol, 0.50)",1.36,0.91,Figure 2,200 (100 present),200,17,2,1.23,1.36,0,0,0.13,,,,
,,"Visual present/absent (no alcohol, 0.75)",1.25,0.82,Figure 2,200 (150 present),200,17,2,1.23,1.25,0,0,0.02,,,,
,,"Visual present/absent (alcohol, 0.75)",1.26,0.99,Figure 2,200 (150 present),200,17,2,1.23,1.26,0,0,0.03,,,,
Stienen & de Gelder (2011),1,"Visual go/no-go (fear, -50)",2.91,0.61,Table 1,64,64,22,,,,,,,MANOVA,Snodgrass & Corwin (1988),Emotion,
,,"Visual go/no-go (fear, -33)",2.99,0.47,Table 1,64,64,22,4,2.91,2.99,0,1,0.08,,,,
,,"Visual go/no-go (fear, 33)",3.01,0.75,Table 1,64,64,22,4,2.91,3.01,0,1,0.1,,,,
,,"Visual go/no-go (fear, 50)",3.05,0.75,Table 1,64,64,22,4,2.91,3.05,0,1,0.14,,,,
,2,"Visual go/no-go (angry, -50)",2.26,0.67,Table 1,64,64,20,3,1.62,2.26,1,0,0.64,MANOVA,,,
,,"Visual go/no-go (angry, -33)",1.87,0.76,Table 1,64,64,20,3,1.62,1.87,1,0,0.25,,,,
,,"Visual go/no-go (angry, 33)",1.62,0.58,Table 1,64,64,20,,,,,,,,,,
,,"Visual go/no-go (angry, 50)",2.27,0.63,Table 1,64,64,20,3,1.62,2.27,1,0,0.65,,,,
,3,"Visual go/no-go (happy, -50)",3.31,0.76,Table 1,64,64,20,4,2.55,3.31,0,1,0.76,MANOVA,,,
,,"Visual go/no-go (happy, -33)",2.84,0.67,Table 1,64,64,20,4,2.55,2.84,0,1,0.29,,,,
,,"Visual go/no-go (happy, 33)",2.55,1.03,Table 1,64,64,20,,,,,,,,,,
,,"Visual go/no-go (happy, 50)",3.04,0.94,Table 1,64,64,20,4,2.55,3.04,0,1,0.49,,,,
Sherman et al. (2019),1,Visual go/no-go (alone),1.88,.,Results (p.268),80 (60 'go'),80,49,,,,,,,ANOVA,none reported,NeuroImage,
,,Visual go/no-go (peer),1.9,.,Results (p.268),80 (60 'go'),80,49,3,1.88,1.9,0,1,0.02,,,,
Palmer et al. (2013),1,"Visual old/new (female, female, full)",1.19,0.74,Figure 1,20 (10 studied),20,68,1,0.49,1.19,0,0,0.7,ANOVA,none reported,Acta Psychologica,
,,"Visual old/new (female, female, divided)",0.65,0.74,Figure 1,20 (10 studied),20,68,1,0.49,0.65,0,0,0.16,,,,
,,"Visual old/new (female, male, full)",0.75,0.66,Figure 1,20 (10 studied),20,68,1,0.49,0.75,0,0,0.26,,,,
,,"Visual old/new (female, male, divided)",0.49,0.74,Figure 1,20 (10 studied),20,68,,,,,,,,,,
,,"Visual old/new (male, female, full)",0.85,0.67,Figure 1,20 (10 studied),20,45,1,0.32,0.85,0,0,0.53,,,,
,,"Visual old/new (male, female, divided)",0.46,0.67,Figure 1,20 (10 studied),20,45,1,0.32,0.46,0,0,0.14,,,,
,,"Visual old/new (male, male, full)",0.79,0.8,Figure 1,20 (10 studied),20,45,1,0.32,0.79,0,0,0.47,,,,
,,"Visual old/new (male, male, divided)",0.32,0.74,Figure 1,20 (10 studied),20,45,,,,,,,,,,
Feldmann-Wustefeld et al. (2011),1,Visual go/no-go (angry),1.17,.,Results (p. 701),288 (144 'go'),288,24,2,0.99,1.17,0,0,0.18,ANOVA,none reported,Psychophysiology,
,,Visual go/no-go (happy),0.99,.,Results (p. 701),288 (144 'go'),288,24,,,,,,,,,,
Brown et al. (2012),1,"Visual go/no-go (short, neutral)",1.5,.,Figure 2,unclear,.,20,2,1.4,1.5,0,0,0.1,ANOVA,none reported,Frontiers in Human Neuroscience,
,,"Visual go/no-go (short, negative)",1.4,.,Figure 2,unclear,.,20,,,,,,,,,,
,,"Visual go/no-go (medium, neutral)",1.5,.,Figure 2,unclear,.,20,2,1.4,1.5,0,0,0.1,,,,
,,"Visual go/no-go (medium, negative)",1.4,.,Figure 2,unclear,.,20,,,,,,,,,,
,,"Visual go/no-go (long, neutral)",1.6,.,Figure 2,unclear,.,20,3,1.6,1.6,0,0,0,,,,
,,"Visual go/no-go (long, negative)",1.6,.,Figure 2,unclear,.,20,,,,,,,,,,
Tillman & Swettenham (2017),1,"Auditory present/absent (TD, 1)",2.74,0.95,Figure 3,48 (24 present),48,17,3,1.73,2.74,1,0,1.01,ANOVA,none reported,Neuropsychology,
,,"Auditory present/absent (TD, 2)",2.49,0.82,Figure 3,48 (24 present),48,17,3,1.73,2.49,1,0,0.76,,,,
,,"Auditory present/absent (TD, 4)",1.8,0.64,Figure 3,48 (24 present),48,17,3,1.73,1.8,0,0,0.07,,,,
,,"Auditory present/absent (TD, 6)",1.73,0.99,Figure 3,48 (24 present),48,17,,,,,,,,,,
,,"Auditory present/absent (ASD, 1)",2.92,0.6,Figure 3,48 (24 present),48,15,3,1.73,2.92,1,0,1.19,,,,
,,"Auditory present/absent (ASD, 2)",2.75,0.94,Figure 3,48 (24 present),48,15,3,1.73,2.75,1,0,1.02,,,,
,,"Auditory present/absent (ASD, 4)",2.64,0.74,Figure 3,48 (24 present),48,15,3,1.73,2.64,1,0,0.91,,,,
,,"Auditory present/absent (ASD, 6)",1.79,1.17,Figure 3,48 (24 present),48,15,3,1.73,1.79,1,0,0.06,,,,
Hsieh et al. (2018),1,"Auditory yes/no (sweep, fixed)",0.9,0.16,Figure 2,1200 (600 'yes'),1200,4,1,0.74,0.9,0,0,0.16,t-tests,none reported,Hearing Research,
,,"Auditory yes/no (sweep, random)",0.74,0.08,Figure 2,600 (300 'yes'),600,4,,,,,,,,,,
,,Auditory yes/no (pure tone),1.22,0.24,Figure 2,1200 (600 'yes'),1200,4,1,0.74,1.22,0,0,0.48,,,,
Kaneko & Sakai (2015),1,"Visual present/absent (high, +)",1.04,0.44,Figure 2 (c.),98 (49 present),98,16,2,0.77,1.04,0,0,0.27,ANOVA,none reported,Frontiers in Human Neuroscience,"exact trial numbers unclear, but these should be pretty close (didn't specify number of +/- trials), so I split total trials evenly"
,,"Visual present/absent (high, -)",0.77,0.56,Figure 2 (c.),98 (49 present),98,16,,,,,,,,,,
,,"Visual present/absent (low, +)",1.31,0.44,Figure 2 (c.),98 (49 present),98,16,2,0.77,1.31,0,0,0.54,,,,
,,"Visual present/absent (low, -)",0.84,0.56,Figure 2 (c.),98 (49 present),98,16,2,0.77,0.84,0,0,0.07,,,,
Makovski et al. (2010),1a,Visual same/different (low),1.39,0.42,Figure 2,90 (45 same),90,16,,,,,,,ANOVA,ceiling effects: treated as 99% instead of 100%,JEP:LMC,
,,Visual same/different (high),1.64,0.49,Figure 2,90 (45 same),90,16,2,1.39,1.64,0,0,0.25,,,,
,1b,Visual same/different (low),1.38,0.39,Figure 2,90 (45 same),90,16,,,,,,,ANOVA,,,
,,Visual same/different (high),1.76,0.59,Figure 2,90 (45 same),90,16,2,1.38,1.76,0,0,0.38,,,,
Melara et al. (2012),1,"Auditory go/no-go (pretest, 1)",1.9,0.81,Figure 2 (a),unclear,.,9,,,,,,,ANOVA,none reported,Brain Research,"overall trial numbers given, but I couldn't figure out how many were in each target-distractor distance condition"
,,"Auditory go/no-go (pretest, 2)",2.52,0.66,Figure 2 (a),unclear,.,9,3,1.9,2.52,0,1,0.62,,,,
,,"Auditory go/no-go (pretest, 3)",2.52,0.69,Figure 2 (a),unclear,.,9,3,1.9,2.52,0,1,0.62,,,,
,,"Auditory go/no-go (pretest, 4)",2.45,0.39,Figure 2 (a),unclear,.,9,3,1.9,2.45,0,1,0.55,,,,
,,"Auditory go/no-go (training, 1)",2.55,0.54,Figure 2 (a),unclear,.,9,3,1.9,2.55,0,1,0.65,,,,
,,"Auditory go/no-go (training, 2)",2.76,0.6,Figure 2 (a),unclear,.,9,3,1.9,2.76,0,1,0.86,,,,
,,"Auditory go/no-go (training, 3)",2.83,0.87,Figure 2 (a),unclear,.,9,3,1.9,2.83,0,1,0.93,,,,
,,"Auditory go/no-go (training, 4)",2.77,0.75,Figure 2 (a),unclear,.,9,3,1.9,2.77,0,1,0.87,,,,
,,"Auditory go/no-go (posttest1, 1)",2.82,0.84,Figure 2 (a),unclear,.,9,3,1.9,2.82,0,1,0.92,,,,
,,"Auditory go/no-go (posttest1, 2)",3.08,0.87,Figure 2 (a),unclear,.,9,3,1.9,3.06,0,1,1.16,,,,
,,"Auditory go/no-go (posttest1, 3)",3.3,0.96,Figure 2 (a),unclear,.,9,3,1.9,3.3,0,1,1.4,,,,
,,"Auditory go/no-go (posttest1, 4)",3.12,0.9,Figure 2 (a),unclear,.,9,3,1.9,3.12,0,1,1.22,,,,
,,"Auditory go/no-go (posttest2, 1)",2.58,0.72,Figure 2 (a),unclear,.,9,3,1.9,2.58,0,1,0.68,,,,
,,"Auditory go/no-go (posttest2, 2)",2.63,0.66,Figure 2 (a),unclear,.,9,3,1.9,2.63,0,1,0.73,,,,
,,"Auditory go/no-go (posttest2, 3)",2.98,0.75,Figure 2 (a),unclear,.,9,3,1.9,2.98,0,1,1.08,,,,
,,"Auditory go/no-go (posttest2, 4)",2.87,0.63,Figure 2 (a),unclear,.,9,3,1.9,2.87,0,1,0.97,,,,
Park & Reed (2015) ,1,"Visual go/no-go (short, pre, hand)",3.8,0.59,Figure 4 (a),30 (15 'go'),30,43,,,,,,,MANOVA,Adjusted according to Macmillan & Creelman (1991),Experimental Brain Research,
,,"Visual go/no-go (short, post, hand)",4.06,0.52,Figure 4 (a),30 (15 'go'),30,43,5,3.8,4.06,0,1,0.26,,,,
,,"Visual go/no-go (short, pre, tool)",3.99,0.66,Figure 4 (a),30 (15 'go'),30,43,5,3.8,3.99,0,1,0.19,,,,
,,"Visual go/no-go (short, post, tool)",4.01,0.59,Figure 4 (a),30 (15 'go'),30,43,5,3.8,4.01,0,1,0.21,,,,
,,"Visual go/no-go (open, pre, hand)",4.07,0.46,Figure 4 (b),30 (15 'go'),30,43,,,,,,,,,,
,,"Visual go/no-go (open, post, hand)",4.14,0.59,Figure 4 (b),30 (15 'go'),30,43,5,4.07,4.14,0,1,0.07,,,,
,,"Visual go/no-go (open, pre, tool)",4.24,0.52,Figure 4 (b),30 (15 'go'),30,43,5,4.07,4.24,0,1,0.17,,,,
,,"Visual go/no-go (open, post, tool)",4.14,0.52,Figure 4 (b),30 (15 'go'),30,43,5,4.07,4.14,0,1,0.07,,,,
,,"Visual go/no-go (hidden, pre, hand)",4,0.59,Figure 4 (c.),30 (15 'go'),30,43,,,,,,,,,,
,,"Visual go/no-go (hidden, post, hand)",4.08,0.52,Figure 4 (c.),30 (15 'go'),30,43,5,4,4.08,0,1,0.08,,,,
,,"Visual go/no-go (hidden, pre, tool)",4.2,0.46,Figure 4 (c.),30 (15 'go'),30,43,5,4,4.2,0,1,0.2,,,,
,,"Visual go/no-go (hidden, post, tool)",4.17,0.59,Figure 4 (c.),30 (15 'go'),30,43,5,4,4.17,0,1,0.17,,,,
Pitcher et al. (2011),1,"Visual same/different (upright, rOFA)",1.4,.,Figure 4 (a),40 (20 same),40,10,2,1.09,1.4,0,0,0.31,ANOVA,none reported,Neuropsychologia,
,,"Visual same/different (upright, rLO)",2.29,.,Figure 4 (a),40 (20 same),40,10,2,1.09,2.29,1,0,1.2,,,,
,,"Visual same/different (upright, no TMS)",2.19,.,Figure 4 (a),40 (20 same),40,10,2,1.09,2.19,1,0,1.1,,,,
,,"Visual same/different (inverted, rOFA)",1.18,.,Figure 4 (a),40 (20 same),40,10,2,1.09,1.18,0,0,0.09,,,,
,,"Visual same/different (inverted, rLO)",1.09,.,Figure 4 (a),40 (20 same),40,10,,,,,,,,,,
,,"Visual same/different (inverted, no TMS)",1.62,.,Figure 4 (a),40 (20 same),40,10,2,1.09,1.62,0,0,0.53,,,,
Rossetti et al. (2012),1,"Visual go/no-go (human, baseline, right)",2.37,1.38,Figure 2 (c.),12 (12 'go'),12,12,2,1.39,2.37,1,0,0.98,ANOVA,none reported,European Journal of Neuroscience,
,,"Visual go/no-go (human, baseline, left)",2.18,1.21,Figure 2 (c.),12 (12 'go'),12,12,2,1.39,2.18,1,0,0.79,,,,
,,"Visual go/no-go (human, SI, right)",1.55,0.93,Figure 2 (c.),12 (12 'go'),12,12,2,1.39,1.55,0,0,0.16,,,,
,,"Visual go/no-go (human, SI, left)",2.58,1.18,Figure 2 (c.),12 (12 'go'),12,12,2,1.39,2.58,1,0,1.19,,,,
,,"Visual go/no-go (human, VI, right)",2.51,1.66,Figure 2 (c.),12 (12 'go'),12,12,2,1.39,2.51,1,0,1.12,,,,
,,"Visual go/no-go (human, VI, left)",1.97,1.28,Figure 2 (c.),12 (12 'go'),12,12,2,1.39,1.97,1,0,0.58,,,,
,,"Visual go/no-go (object, baseline, right)",1.73,0.73,Figure 2 (c.),12 (12 'go'),12,12,2,1.39,1.73,0,0,0.34,,,,
,,"Visual go/no-go (object, baseline, left)",1.61,0.66,Figure 2 (c.),12 (12 'go'),12,12,2,1.39,1.61,0,0,0.22,,,,
,,"Visual go/no-go (object, SI, right)",1.87,0.93,Figure 2 (c.),12 (12 'go'),12,12,2,1.39,1.87,1,0,0.48,,,,
,,"Visual go/no-go (object, SI, left)",1.84,0.93,Figure 2 (c.),12 (12 'go'),12,12,2,1.39,1.84,0,0,0.45,,,,
,,"Visual go/no-go (object, VI, right)",1.39,0.9,Figure 2 (c.),12 (12 'go'),12,12,,,,,,,,,,
,,"Visual go/no-go (object, VI, left)",1.55,0.83,Figure 2 (c.),12 (12 'go'),12,12,2,1.39,1.55,0,0,0.16,,,,
,2,"Visual go/no-go (human, baseline, right)",2.53,1.35,Figure 2 (d),12 (12 'go'),12,12,3,1.94,2.53,0,1,0.59,ANOVA,,,
,,"Visual go/no-go (human, baseline, left)",2.34,1.14,Figure 2 (d),12 (12 'go'),12,12,3,1.94,2.34,0,1,0.4,,,,
,,"Visual go/no-go (human, SI, right)",2.51,0.9,Figure 2 (d),12 (12 'go'),12,12,3,1.94,2.51,0,1,0.57,,,,
,,"Visual go/no-go (human, SI, left)",2.47,1.14,Figure 2 (d),12 (12 'go'),12,12,3,1.94,2.47,0,1,0.53,,,,
,,"Visual go/no-go (object, baseline, right)",2.04,1.63,Figure 2 (d),12 (12 'go'),12,12,3,1.94,2.04,0,1,0.1,,,,
,,"Visual go/no-go (object, baseline, left)",1.94,1.31,Figure 2 (d),12 (12 'go'),12,12,,,,,,,,,,
,,"Visual go/no-go (object, SI, right)",2.11,0.76,Figure 2 (d),12 (12 'go'),12,12,3,1.94,2.11,0,1,0.17,,,,
,,"Visual go/no-go (object, SI, left)",2.55,0.62,Figure 2 (d),12 (12 'go'),12,12,3,1.94,2.55,0,1,0.61,,,,
Sava et al. (2016),1,"Visual old/new (AD, FA)",0.95,0.36,Figure 2,48 (24 'old'),48,16,1,0.6,0.95,0,0,0.35,ANOVA,none reported,Journal of Clinical and Experimental Neuropsychology,
,,"Visual old/new (AD, DA)",0.6,0.4,Figure 2,48 (24 'old'),48,16,,,,,,,,,,
,,"Visual old/new (MCI, FA)",1.68,0.35,Figure 2,48 (24 'old'),48,12,1,0.6,1.68,0,0,1.08,,,,
,,"Visual old/new (MCI, DA)",1.42,0.42,Figure 2,48 (24 'old'),48,12,1,0.6,1.42,0,0,0.82,,,,
,,"Visual old/new (C1, FA)",1.8,0.34,Figure 2,48 (24 'old'),48,18,1,0.6,1.8,0,0,1.2,,,,
,,"Visual old/new (C1, DA)",1.45,0.4,Figure 2,48 (24 'old'),48,18,1,0.6,1.45,0,0,0.85,,,,
,,"Visual old/new (C2, FA)",1.91,0.33,Figure 2,48 (24 'old'),48,19,1,0.6,1.91,1,0,1.31,,,,
,,"Visual old/new (C2, DA)",1.44,0.37,Figure 2,48 (24 'old'),48,19,1,0.6,1.44,0,0,0.84,,,,
,,"Visual old/new (C3, FA)",1.91,0.34,Figure 2,48 (24 'old'),48,20,1,0.6,1.91,1,0,1.31,,,,
,,"Visual old/new (C3, DA)",1.4,0.38,Figure 2,48 (24 'old'),48,20,1,0.6,1.4,0,0,0.8,,,,
,,"Visual old/new (C4, FA)",1.52,0.33,Figure 2,48 (24 'old'),48,26,1,0.6,1.52,0,0,0.92,,,,
,,"Visual old/new (C4, DA)",1.55,0.41,Figure 2,48 (24 'old'),48,26,1,0.6,1.55,0,0,0.95,,,,
Sevdalis & Keller (2012),1,Visual a/b (200),1.29,0.64,Figure 2,48 (24 'a'),48,20,,,,,,,ANOVA,none reported,Experimental Brain Research,
,,Visual a/b (300),1.62,0.78,Figure 2,48 (24 'a'),48,20,2,1.29,1.62,0,0,0.33,,,,
,,Visual a/b (500),1.6,0.72,Figure 2,48 (24 'a'),48,20,2,1.29,1.6,0,0,0.31,,,,
,,Visual a/b (750),1.98,0.87,Figure 2,48 (24 'a'),48,20,2,1.29,1.98,1,0,0.69,,,,
,,Visual a/b (1000),1.86,0.62,Figure 2,48 (24 'a'),48,20,2,1.29,1.86,1,0,0.57,,,,
Thibaut et al. (2014),1,"Visual go/no-go (AMD, center)",1.93,0.8,Figure 3,28 (14 'go'),28,21,3,1.57,1.93,1,0,0.36,ANOVA,adjusted according to Macmillan & Creelman (1991),Vision Research,
,,"Visual go/no-go (AMD, top right)",1.66,0.43,Figure 3,28 (14 'go'),28,21,3,1.57,1.66,0,0,0.09,,.99 for 100% hits,,
,,"Visual go/no-go (AMD, bottom right)",1.57,0.43,Figure 3,28 (14 'go'),28,21,,,,,,,,.01 for 0% FA,,
,,"Visual go/no-go (AMD, top left)",1.84,0.68,Figure 3,28 (14 'go'),28,21,3,1.57,1.84,0,0,0.27,,,,
,,"Visual go/no-go (AMD, bottom left)",1.67,0.29,Figure 3,28 (14 'go'),28,21,3,1.57,1.67,0,0,0.1,,,,
,,"Visual go/no-go (controls, center)",3.57,0.79,Figure 3,28 (14 'go'),28,15,3,1.57,3.57,1,0,2,,,,
,,"Visual go/no-go (controls, top right)",2.66,0.42,Figure 3,28 (14 'go'),28,15,3,1.57,2.66,1,0,1.09,,,,
,,"Visual go/no-go (controls, bottom right)",2.45,0.46,Figure 3,28 (14 'go'),28,15,3,1.57,2.45,1,0,0.88,,,,
,,"Visual go/no-go (controls, top left)",2.79,0.7,Figure 3,28 (14 'go'),28,15,3,1.57,2.79,1,0,1.22,,,,
,,"Visual go/no-go (controls, bottom left)",2.16,0.5,Figure 3,28 (14 'go'),28,15,3,1.57,2.16,1,0,0.59,,,,
Yegiyan & Yonelinas (2011),1,"Visual old/new (positive, central, 1)",2.09,.,Figure 2 (a),unclear,.,76,2,1.2,2.09,1,0,0.89,ANOVA,none reported,Cognition & Emotion,trial numbers unclear because d' values plotted according to participants' arousal ratings to stimuli - not sure how many observations are included in each point
,,"Visual old/new (positive, central, 2)",2.11,.,Figure 2 (a),unclear,.,76,2,1.2,2.11,1,0,0.91,,,,
,,"Visual old/new (positive, central, 3)",2.19,.,Figure 2 (a),unclear,.,76,2,1.2,2.19,1,0,0.99,,,,
,,"Visual old/new (positive, central, 4)",2.45,.,Figure 2 (a),unclear,.,76,2,1.2,2.45,1,0,1.25,,,,
,,"Visual old/new (positive, central, 5)",2.28,.,Figure 2 (a),unclear,.,76,2,1.2,2.28,1,0,1.08,,,,
,,"Visual old/new (positive, central, 6)",2.27,.,Figure 2 (a),unclear,.,76,2,1.2,2.27,1,0,1.07,,,,
,,"Visual old/new (positive, central, 7)",2.37,.,Figure 2 (a),unclear,.,76,2,1.2,2.37,1,0,1.17,,,,
,,"Visual old/new (positive, central, 8)",2.38,.,Figure 2 (a),unclear,.,76,2,1.2,2.38,1,0,1.18,,,,
,,"Visual old/new (positive, central, 9)",2.74,.,Figure 2 (a),unclear,.,76,2,1.2,2.74,1,0,1.54,,,,
,,"Visual old/new (positive, peripheral, 1)",1.2,.,Figure 2 (a),unclear,.,76,,,,,,,,,,
,,"Visual old/new (positive, peripheral, 2)",1.9,.,Figure 2 (a),unclear,.,76,2,1.2,1.9,1,0,0.7,,,,
,,"Visual old/new (positive, peripheral, 3)",1.89,.,Figure 2 (a),unclear,.,76,2,1.2,1.89,1,0,0.69,,,,
,,"Visual old/new (positive, peripheral, 4)",1.99,.,Figure 2 (a),unclear,.,76,2,1.2,1.99,1,0,0.79,,,,
,,"Visual old/new (positive, peripheral, 5)",2.17,.,Figure 2 (a),unclear,.,76,2,1.2,2.17,1,0,0.97,,,,
,,"Visual old/new (positive, peripheral, 6)",2.39,.,Figure 2 (a),unclear,.,76,2,1.2,2.39,1,0,1.19,,,,
,,"Visual old/new (positive, peripheral, 7)",2.53,.,Figure 2 (a),unclear,.,76,2,1.2,2.53,1,0,1.33,,,,
,,"Visual old/new (positive, peripheral, 8)",2.5,.,Figure 2 (a),unclear,.,76,2,1.2,2.5,1,0,1.3,,,,
,,"Visual old/new (positive, peripheral, 9)",2.54,.,Figure 2 (a),unclear,.,76,2,1.2,2.54,1,0,1.34,,,,
,,"Visual old/new (negative, central, 1)",2.02,.,Figure 2 (b),unclear,.,76,2,1.2,2.02,1,0,0.82,,,,
,,"Visual old/new (negative, central, 2)",2.06,.,Figure 2 (b),unclear,.,76,2,1.2,2.06,1,0,0.86,,,,
